	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall	fm_accuracy
0	0.3003017574635912		0.3817264979488414	0.33970722260195946	0.47851731601731595	0.1636591478696742	0.18273809523809526	0.21491228070175442	0.35551962657225816	0.31322055137844607	0.4509711779448621	0.6008771929824561
1	0.36035814347693107		0.4352916962457455	0.4158432941327678	0.4908416875522139	0.2788220551378446	0.3907894736842105	0.26330409356725143	0.3669606790472034	0.3373367129946077	0.41425438596491226	0.6343201754385965
2												
3												
4												
5												
6												
7												
8												
9												
