	overall_f1	dev_accuracy	fm_f1	fm_precision	fm_recall	saho_f1	saho_precision	saho_recall	sc_f1	sc_precision	sc_recall	fm_accuracy
0	0.40137903959600224		0.4427101108928549	0.4217438263490895	0.5149948735475052	0.3628425667899352	0.42500000000000004	0.3787280701754385	0.39858444110521674	0.35623433583959896	0.4699248120300752	0.6441885964912281
1	0.5558144598779274		0.6375936928568507	0.6469715956558061	0.6743838763575605	0.5488770001927898	0.5971177944862155	0.5438283208020052	0.4809726865841418	0.49252297410192153	0.5277882205513784	0.7072368421052632
2												
3												
4												
5												
6												
7												
8												
9												
